name,type,state,image_url
Bhotia Dann,,Uttarakhand,bhotia_dann.jpeg
Banaras Zardozi,Embroidery,Uttar Pradesh,banaras.png
Banaras Gulabi Meenakari,Painting,Uttar Pradesh,gulabi.jpg
Varanasi Glass Beads,Beads,Uttar Pradesh,glass_beads.jpeg
Banaras Brocades & Sarees,,Uttar Pradesh,banaras_sarees.jpg
Leather Puppetry,Puppetry,Andhra Pradesh,leather_puppetry.jpg
Bobbili Veena,,Andhra Pradesh,bobbili_veena.jpg
Muga Silk,,Assam,muga_silk.png
Pithora paintings,Painting,Gujarat,pithora_painting.jpeg
Kutch Embroidery,Embroidery,Gujarat,kutch_embroidery.jpg
Pethapur Printing Blocks,,Gujarat,block_printing.jpg
Kashmir�s Walnut Wood Carving,,Jammu and Kashmir,kashmir_wood.jpeg
Bastar Dhokra,Sculpture,Chhattisgarh,bastar_dhokra.png
Bastar's Iron Craft,Sculpture,Chhattisgarh,bastar.jpg
Kinhal Toys,Sculpture,Karnataka,kinhal_toy.jpg
Bidriware,,Karnataka,bidriware.png
Brass Broidered Coconut Shell,Sculpture,Kerala,coco_shell.jpeg
Mirrors of Aranmula Kannadi,,Kerala,aranmula.jpg
Bagh Prints,,Madhya Pradesh,bagh_print.jpg
Chanderi Fabrics,,Madhya Pradesh,chanderi.jpeg
Karvath Kati Sarees,,Maharashtra,karvath.jpg
Warli Paintings,,Maharashtra,warli_art.jpg
Tapestry of Mizo Culture,,Mizoram,mizo_tapestry.jpeg
Chakshesang Shawl,,Nagaland,shawl.jpg
Adilabad Dokra,,Telangana,dokra.jpg
Odisha's Signature Craft,,Odisha,odisha_craft.jpg
Rajasthan Kathputlis,,Rajasthan,kathputlis_doll.jpg
Pokhran Pottery,,Rajasthan,pokhran.jpg
Puralia Chhau Mask,,West Bengal,chhau_mask.jpeg
Santipur Saree,,West Bengal,santipur_saree.jpeg
Villianur�s Terracotta Treasures,,Puducherry,villianur.jpeg
Punjab's Phulkari,,Punjab,phulkari.jpeg
Khatwa patchwork,,Bihar,patch_work.jpeg
